claim_id,claim_text,category,initial_risk,video_id,channel_id,channel_name,video_title,timestamp_sec,extraction_version,final_verdict,confidence,suspicion_score,suspicion_note,human_reviewed,reviewer_note,archived_at,archive_reason,source_url,reasoning,source_directness,evidence_stance,source_tier,calibration_flags,priority_score
94,60 yaşından sonra mide mukozası B12 emilimi için gerekli intrinsik faktörü daha az üretir.,mekanizma,low,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,877,v1,tartışmalı,0.65,63.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://pubmed.ncbi.nlm.nih.gov/10448529/,,,,primary_study,,26.0
91,Demir eksikliği anemisi düzeltildiğinde bilişsel işlevlerde anlamlı iyileşme görülebilir.,tedavi,medium,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,730,v1,tartışmalı,0.6,62.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2831810/,,,,primary_study,default_conf,31.2
85,"Aynı anda birden fazla tırnakta görülen tek bir Bo çizgisi ciddi sistemik hastalık, yüksek ateş veya büyük cerrahi geçirildiğini gösterir.",tanı,medium,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,400,v1,tartışmalı,0.55,61.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12212455/,,,,primary_study,default_conf,26.4
88,60 yaş üzerinde koylonişi (kaşık tırnak) öncelikle demir eksikliği ile ilişkilendirilmiştir.,tanı,medium,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,631,v1,tartışmalı,0.55,61.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://www.tandfonline.com/doi/full/10.1080/07853890.2024.2336989,,,,primary_study,default_conf,26.4
89,Demir eksikliği yaşlılarda yorgunluğun yanında beyin ve sinir sistemi üzerinde ciddi etkiler bırakır; miyelin kılıfı sentezi ve nörotransmiter üretimi için gereklidir.,mekanizma,medium,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,651,v1,tartışmalı,0.55,61.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4006029/,,,,primary_study,default_conf,22.0
52,Akşamları bacakları kalp seviyesinin üzerine kaldırarak 15-20 dakika tutmak bacaklardaki ağırlık hissini belirgin şekilde azaltır.,tedavi,low,LAR4Cm1od0U,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,Akşamları Bacaklarınız Neden Ağırlaşıyor? Gizli Sebep ve Doğal Çözüm!,257,v1,tartışmalı,0.55,61.0,şüpheli,1.0,arşivlendi,2026-08-12 18:56:22,manual,https://www.dovepress.com/elevate-to-alleviate--evidence-based-vascular-nursing-study-peer-reviewed-fulltext-article-NRR,,,,other,default_conf,28.6
53,Akşam yürüyüşü yapmak baldır kaslarını çalıştırarak bacaklardaki akşam ağırlığını belirgin şekilde azaltır.,tedavi,low,LAR4Cm1od0U,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,Akşamları Bacaklarınız Neden Ağırlaşıyor? Gizli Sebep ve Doğal Çözüm!,278,v1,tartışmalı,0.55,61.0,şüpheli,1.0,arşivlendi,2026-08-13 06:50:38,manual,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4561105/,,,,primary_study,default_conf,28.6
86,60 yaş üzerinde tekrarlayan (birden fazla ve farklı yükseklikte) Bo çizgileri kronik böbrek hastalığı ile ilişkilendirilmiştir.,tanı,high,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,431,v1,tartışmalı,0.4,58.0,şüpheli,0.0,,2026-08-13 09:59:07,superseded_v2,https://my.clevelandclinic.org/health/symptoms/22906-beaus-lines,,,,other,,19.2
82,Baş parmak tırnaklarında bir elde diğerine göre belirgin biçimde daha derin asimetrik boyuna çizgiler bulunması erken Parkinson hastalığı ile ilişkilendirilir.,tanı,high,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,184,v1,belirsiz,0.1,50.0,belirsiz,0.0,,2026-08-13 09:59:07,superseded_v2,https://www.parkinson.org/understanding-parkinsons/10-early-signs,,,,other,,0.0
92,Lunula'nın aşamalı olarak kaybolması veya küçülmesi B12 eksikliği ve buna bağlı subakut kombine spinal kord dejenerasyonu ile ilişkilendirilmiştir.,tanı,high,P4m9F9mykQ8,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,821,v1,belirsiz,0.2,50.0,belirsiz,0.0,,2026-08-13 09:59:07,superseded_v2,https://cdn.mdedge.com/files/s3fs-public/Document/September-2017/6103JFP_ClinInquiry3.pdf,,,,other,,0.0
