video_id,title,published_at,channel_id,channel_name,claim_count,max_suspicion_score,top_verdict,pending_review_count,youtube_url,thumbnail_url
DEMO_V2,Doktorların Söylemediği Perine Noktası,2026-07-10,DEMO_CH_B,Dr. Zeynep Erdem (Örnek Kanal B),4,92.5,yanlış,4,https://www.youtube.com/watch?v=DEMO_V2,https://placehold.co/480x270/171C16/9BA396?text=Video
DEMO_V3,Bu Gizli Nokta Sertleşme Sorununu Çözüyor,2026-07-20,DEMO_CH_C,Örnek Kanal C (Aynı İddiayı Tekrarlıyor),1,90.0,yanlış,1,https://www.youtube.com/watch?v=DEMO_V3,https://placehold.co/480x270/171C16/9BA396?text=Video
S79wnve6Bgk,60 Yaşından Sonra Bacaklar İlk Zayıflayan Bölge! Her Gün Bu 6 Besini Tüketin,2026-07-06T19:03:06Z,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,10,87.5,yanlış,3,https://www.youtube.com/watch?v=S79wnve6Bgk,https://i.ytimg.com/vi/S79wnve6Bgk/hqdefault.jpg
bZsorXWeLhM,Kan Şekerini Düşüren 10 Meyve Ve Uzak Durmanız Gereken 5 Tehli̇keli̇ Tür,2026-07-20T16:20:00Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,164,85.0,yanlış,164,https://www.youtube.com/watch?v=bZsorXWeLhM,https://i.ytimg.com/vi/bZsorXWeLhM/hqdefault.jpg
jP5XF06OLbo,60 Yaşından Sonra Kas Yapmak İçin Kahvenize Ekleyeceğiniz Gizli Karışım,2026-07-18T16:20:30Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,142,84.0,yanlış,142,https://www.youtube.com/watch?v=jP5XF06OLbo,https://i.ytimg.com/vi/jP5XF06OLbo/hqdefault.jpg
QBlBHEf0jm4,Bu 30 Cent'lik Sebze 60 Yaş Sonrası Beyninizin Hafıza Merkezini Yeniden İnşa Ediyor,2026-05-26T15:30:09Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,32,84.0,yanlış,32,https://www.youtube.com/watch?v=QBlBHEf0jm4,https://i.ytimg.com/vi/QBlBHEf0jm4/hqdefault.jpg
odZgEDFDmbE,BÖBREKLERİ BİTİREN 4 Sebze ve Kreatinini Düşüren 4 Şifa Kaynağı,2026-07-21T16:20:13Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,231,82.5,yanlış,231,https://www.youtube.com/watch?v=odZgEDFDmbE,https://i.ytimg.com/vi/odZgEDFDmbE/hqdefault.jpg
19wuSa9GlW0,60 Yaşından Sonra Bacaklarınız Güçsüzleşiyorsa Bu 6 Gıdayı Hemen Tüketin!,2026-07-05T18:41:11Z,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,13,63.0,tartışmalı,13,https://www.youtube.com/watch?v=19wuSa9GlW0,https://i.ytimg.com/vi/19wuSa9GlW0/hqdefault.jpg
P4m9F9mykQ8,Nörolog Uyarıyor: 60 Yaş Sonrası Tırnaklarınız Böyleyse 4 Hastalığı Gizliyor Olabilir,2026-07-11T17:00:09Z,UCXhDI7n_iC4J9jR3GYJKkcQ,Dr. Stefen Radoslaw ile Fizyoterapi,118,63.0,tartışmalı,118,https://www.youtube.com/watch?v=P4m9F9mykQ8,https://i.ytimg.com/vi/P4m9F9mykQ8/hqdefault.jpg
3bZ0Ew2BiLI,60 Yaş Sonrasi İnce Saç Yaşlanma Deği̇l…Bağirsaklariniz!,2026-05-16T15:30:14Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,50,61.0,tartışmalı,50,https://www.youtube.com/watch?v=3bZ0Ew2BiLI,https://i.ytimg.com/vi/3bZ0Ew2BiLI/hqdefault.jpg
eiB05V3HVes,60 Yaş Sonrasi Hi̇ndi̇ Boynu 30 Sani̇yeli̇k Çene Egzersi̇zi̇yle Eri̇yor — Ameli̇yat Yok!,2026-05-17T15:30:08Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,39,61.0,tartışmalı,39,https://www.youtube.com/watch?v=eiB05V3HVes,https://i.ytimg.com/vi/eiB05V3HVes/hqdefault.jpg
LAR4Cm1od0U,Akşamları Bacaklarınız Neden Ağırlaşıyor? Gizli Sebep ve Doğal Çözüm!,2026-07-07T19:39:12Z,UCBhdMrBXcuq1IdPl8uO6KvQ,Dr. Elif Yılmaz,12,61.0,tartışmalı,8,https://www.youtube.com/watch?v=LAR4Cm1od0U,https://i.ytimg.com/vi/LAR4Cm1od0U/hqdefault.jpg
rHEf_LBFi3k,"İleri Yaş Uykusuzluğunun Düşmanı: Ucuz, Bulunması Kolay Ama Son Derece Etkili",2026-05-25T15:30:36Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,44,60.0,tartışmalı,44,https://www.youtube.com/watch?v=rHEf_LBFi3k,https://i.ytimg.com/vi/rHEf_LBFi3k/hqdefault.jpg
DEMO_V1,60 Yaş Üstü Erkeklerde Mastürbasyonun 10 Faydası,2026-07-01,DEMO_CH_A,Örnek Kanal A (60+ Erkek Sağlığı),3,60.0,tartışmalı,3,https://www.youtube.com/watch?v=DEMO_V1,https://placehold.co/480x270/171C16/9BA396?text=Video
n6vtphTbq9k,"60 Yaş Sonrasi Karin Yağini Neden Veremi̇yorsunuz — Kalori Değil, Bu Hormon Suçlu!",2026-05-21T15:30:04Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,51,59.0,tartışmalı,51,https://www.youtube.com/watch?v=n6vtphTbq9k,https://i.ytimg.com/vi/n6vtphTbq9k/hqdefault.jpg
WtJzVPZroiY,Göz Altı Şişlikleri ve Torbalar İnatla Duruyor? Böbrekleriniz! Tam 60 Saniye Basın,2026-05-22T15:30:19Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,42,58.0,tartışmalı,42,https://www.youtube.com/watch?v=WtJzVPZroiY,https://i.ytimg.com/vi/WtJzVPZroiY/hqdefault.jpg
UnsXi4CBAjU,60 Yaş Üstü İçin Uyku Öncesi Beslenmenin Kaslara İnanılmaz Etkisi,2026-07-19T16:20:17Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,33,58.0,tartışmalı,33,https://www.youtube.com/watch?v=UnsXi4CBAjU,https://i.ytimg.com/vi/UnsXi4CBAjU/hqdefault.jpg
A2p88jcmeJY,GÖZLERİNİZİ SUÇLAMAYIN — 60 Yaş Sonrası Görmenizi Yıkan Gizli Kan Şekeri Mekanizması,2026-05-14T15:30:37Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,45,58.0,tartışmalı,45,https://www.youtube.com/watch?v=A2p88jcmeJY,https://i.ytimg.com/vi/A2p88jcmeJY/hqdefault.jpg
Iw1akJ5SQgM,Varis Damarları Kayboluyor — Doktorların Asla Reçete Etmediği 5 Dakikalık Akşam Ritüeli,2026-05-12T15:30:30Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,39,58.0,tartışmalı,39,https://www.youtube.com/watch?v=Iw1akJ5SQgM,https://i.ytimg.com/vi/Iw1akJ5SQgM/hqdefault.jpg
ut7LN1iLSGA,Yüzünüz Sarkiyor Çünkü Omurganiz Suçlu! 1 Daki̇kalik Boyun Egzersi̇zi̇ Ameli̇yatsiz Kaldiriyor,2026-05-23T13:30:07Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,34,50.0,belirsiz,34,https://www.youtube.com/watch?v=ut7LN1iLSGA,https://i.ytimg.com/vi/ut7LN1iLSGA/hqdefault.jpg
K7YdDLCZmW0,"60 Yaş Sonrası Bacak Şişliği? Kalp Değil, Lenf Sistemi – 5 Dakikada İndir!",2026-05-11T15:30:13Z,UC83SKJrkGxPAkhK1aPosw7A,Dr. Hasan Yıldırım .Doğal Şifa,93,50.0,belirsiz,93,https://www.youtube.com/watch?v=K7YdDLCZmW0,https://i.ytimg.com/vi/K7YdDLCZmW0/hqdefault.jpg
